2025-03-13T00:00:23.730Z DEBUG 8599 --- [http-nio-8080-exec-6] o.s.security.web.FilterChainProxy        : Securing OPTIONS /api/questions/10324
2025-03-13T00:00:23.745Z DEBUG 8599 --- [http-nio-8080-exec-7] o.s.security.web.FilterChainProxy        : Securing GET /api/questions/10324
2025-03-13T00:00:23.745Z DEBUG 8599 --- [http-nio-8080-exec-7] o.s.s.w.a.AnonymousAuthenticationFilter  : Set SecurityContextHolder to anonymous SecurityContext
2025-03-13T00:00:23.745Z DEBUG 8599 --- [http-nio-8080-exec-7] o.s.security.web.FilterChainProxy        : Secured GET /api/questions/10324
2025-03-13T00:00:24.696Z DEBUG 8599 --- [http-nio-8080-exec-8] o.s.security.web.FilterChainProxy        : Securing OPTIONS /api/questions/10324/check
2025-03-13T00:00:24.698Z DEBUG 8599 --- [http-nio-8080-exec-9] o.s.security.web.FilterChainProxy        : Securing POST /api/questions/10324/check
2025-03-13T00:00:24.699Z DEBUG 8599 --- [http-nio-8080-exec-9] o.s.s.w.a.AnonymousAuthenticationFilter  : Set SecurityContextHolder to anonymous SecurityContext
2025-03-13T00:00:24.699Z DEBUG 8599 --- [http-nio-8080-exec-9] o.s.security.web.FilterChainProxy        : Secured POST /api/questions/10324/check
2025-03-13T00:01:13.690Z DEBUG 8599 --- [http-nio-8080-exec-10] o.s.security.web.FilterChainProxy        : Securing OPTIONS /api/questions/94
2025-03-13T00:01:13.693Z DEBUG 8599 --- [http-nio-8080-exec-1] o.s.security.web.FilterChainProxy        : Securing GET /api/questions/94
2025-03-13T00:01:13.693Z DEBUG 8599 --- [http-nio-8080-exec-1] o.s.s.w.a.AnonymousAuthenticationFilter  : Set SecurityContextHolder to anonymous SecurityContext
2025-03-13T00:01:13.693Z DEBUG 8599 --- [http-nio-8080-exec-1] o.s.security.web.FilterChainProxy        : Secured GET /api/questions/94
2025-03-13T00:01:15.062Z DEBUG 8599 --- [http-nio-8080-exec-2] o.s.security.web.FilterChainProxy        : Securing OPTIONS /api/questions/94/check
2025-03-13T00:01:15.064Z DEBUG 8599 --- [http-nio-8080-exec-3] o.s.security.web.FilterChainProxy        : Securing POST /api/questions/94/check
2025-03-13T00:01:15.065Z DEBUG 8599 --- [http-nio-8080-exec-3] o.s.s.w.a.AnonymousAuthenticationFilter  : Set SecurityContextHolder to anonymous SecurityContext
2025-03-13T00:01:15.065Z DEBUG 8599 --- [http-nio-8080-exec-3] o.s.security.web.FilterChainProxy        : Secured POST /api/questions/94/check
2025-03-13T00:01:15.871Z DEBUG 8599 --- [http-nio-8080-exec-5] o.s.security.web.FilterChainProxy        : Securing OPTIONS /api/questions/7363
2025-03-13T00:01:15.878Z DEBUG 8599 --- [http-nio-8080-exec-4] o.s.security.web.FilterChainProxy        : Securing GET /api/questions/7363
2025-03-13T00:01:15.878Z DEBUG 8599 --- [http-nio-8080-exec-4] o.s.s.w.a.AnonymousAuthenticationFilter  : Set SecurityContextHolder to anonymous SecurityContext
2025-03-13T00:01:15.878Z DEBUG 8599 --- [http-nio-8080-exec-4] o.s.security.web.FilterChainProxy        : Secured GET /api/questions/7363
2025-03-13T00:01:16.367Z DEBUG 8599 --- [http-nio-8080-exec-6] o.s.security.web.FilterChainProxy        : Securing OPTIONS /api/questions/7363/check
2025-03-13T00:01:16.369Z DEBUG 8599 --- [http-nio-8080-exec-7] o.s.security.web.FilterChainProxy        : Securing POST /api/questions/7363/check
2025-03-13T00:01:16.369Z DEBUG 8599 --- [http-nio-8080-exec-7] o.s.s.w.a.AnonymousAuthenticationFilter  : Set SecurityContextHolder to anonymous SecurityContext
2025-03-13T00:01:16.369Z DEBUG 8599 --- [http-nio-8080-exec-7] o.s.security.web.FilterChainProxy        : Secured POST /api/questions/7363/check
2025-03-13T00:01:16.929Z DEBUG 8599 --- [http-nio-8080-exec-8] o.s.security.web.FilterChainProxy        : Securing OPTIONS /api/questions/10249
2025-03-13T00:01:16.931Z DEBUG 8599 --- [http-nio-8080-exec-9] o.s.security.web.FilterChainProxy        : Securing GET /api/questions/10249
2025-03-13T00:01:16.932Z DEBUG 8599 --- [http-nio-8080-exec-9] o.s.s.w.a.AnonymousAuthenticationFilter  : Set SecurityContextHolder to anonymous SecurityContext
2025-03-13T00:01:16.932Z DEBUG 8599 --- [http-nio-8080-exec-9] o.s.security.web.FilterChainProxy        : Secured GET /api/questions/10249
2025-03-13T00:01:17.289Z DEBUG 8599 --- [http-nio-8080-exec-10] o.s.security.web.FilterChainProxy        : Securing OPTIONS /api/questions/10249/check
2025-03-13T00:01:17.291Z DEBUG 8599 --- [http-nio-8080-exec-1] o.s.security.web.FilterChainProxy        : Securing POST /api/questions/10249/check
2025-03-13T00:01:17.292Z DEBUG 8599 --- [http-nio-8080-exec-1] o.s.s.w.a.AnonymousAuthenticationFilter  : Set SecurityContextHolder to anonymous SecurityContext
2025-03-13T00:01:17.292Z DEBUG 8599 --- [http-nio-8080-exec-1] o.s.security.web.FilterChainProxy        : Secured POST /api/questions/10249/check
2025-03-13T00:01:17.716Z DEBUG 8599 --- [http-nio-8080-exec-2] o.s.security.web.FilterChainProxy        : Securing OPTIONS /api/questions/11727
2025-03-13T00:01:17.719Z DEBUG 8599 --- [http-nio-8080-exec-3] o.s.security.web.FilterChainProxy        : Securing GET /api/questions/11727
2025-03-13T00:01:17.719Z DEBUG 8599 --- [http-nio-8080-exec-3] o.s.s.w.a.AnonymousAuthenticationFilter  : Set SecurityContextHolder to anonymous SecurityContext
2025-03-13T00:01:17.719Z DEBUG 8599 --- [http-nio-8080-exec-3] o.s.security.web.FilterChainProxy        : Secured GET /api/questions/11727
2025-03-13T00:01:19.246Z DEBUG 8599 --- [http-nio-8080-exec-5] o.s.security.web.FilterChainProxy        : Securing OPTIONS /api/questions/11727/check
2025-03-13T00:01:19.248Z DEBUG 8599 --- [http-nio-8080-exec-4] o.s.security.web.FilterChainProxy        : Securing POST /api/questions/11727/check
2025-03-13T00:01:19.248Z DEBUG 8599 --- [http-nio-8080-exec-4] o.s.s.w.a.AnonymousAuthenticationFilter  : Set SecurityContextHolder to anonymous SecurityContext
2025-03-13T00:01:19.248Z DEBUG 8599 --- [http-nio-8080-exec-4] o.s.security.web.FilterChainProxy        : Secured POST /api/questions/11727/check
2025-03-13T00:01:19.718Z DEBUG 8599 --- [http-nio-8080-exec-6] o.s.security.web.FilterChainProxy        : Securing OPTIONS /api/questions/5953
2025-03-13T00:01:19.720Z DEBUG 8599 --- [http-nio-8080-exec-7] o.s.security.web.FilterChainProxy        : Securing GET /api/questions/5953
2025-03-13T00:01:19.720Z DEBUG 8599 --- [http-nio-8080-exec-7] o.s.s.w.a.AnonymousAuthenticationFilter  : Set SecurityContextHolder to anonymous SecurityContext
2025-03-13T00:01:19.721Z DEBUG 8599 --- [http-nio-8080-exec-7] o.s.security.web.FilterChainProxy        : Secured GET /api/questions/5953
2025-03-13T00:01:21.700Z DEBUG 8599 --- [http-nio-8080-exec-8] o.s.security.web.FilterChainProxy        : Securing OPTIONS /api/questions/hint/5953?index=0
2025-03-13T00:01:21.702Z DEBUG 8599 --- [http-nio-8080-exec-9] o.s.security.web.FilterChainProxy        : Securing GET /api/questions/hint/5953?index=0
2025-03-13T00:01:21.703Z DEBUG 8599 --- [http-nio-8080-exec-9] o.s.s.w.a.AnonymousAuthenticationFilter  : Set SecurityContextHolder to anonymous SecurityContext
2025-03-13T00:01:21.703Z DEBUG 8599 --- [http-nio-8080-exec-9] o.s.security.web.FilterChainProxy        : Secured GET /api/questions/hint/5953?index=0
2025-03-13T00:01:21.929Z DEBUG 8599 --- [http-nio-8080-exec-10] o.s.security.web.FilterChainProxy        : Securing OPTIONS /api/questions/hint/5953?index=1
2025-03-13T00:01:21.931Z DEBUG 8599 --- [http-nio-8080-exec-1] o.s.security.web.FilterChainProxy        : Securing GET /api/questions/hint/5953?index=1
2025-03-13T00:01:21.932Z DEBUG 8599 --- [http-nio-8080-exec-1] o.s.s.w.a.AnonymousAuthenticationFilter  : Set SecurityContextHolder to anonymous SecurityContext
